nameWithOwner,createdAt,primaryLanguage,updatedAt,pullRequests
BurntSushi/ripgrep,2016-03-11T02:02:33Z,Rust,2025-03-14T18:32:21Z,511
juliangarnier/anime,2016-03-13T21:37:45Z,JavaScript,2025-03-14T14:32:12Z,72
pi-hole/pi-hole,2014-06-08T15:02:55Z,Shell,2025-03-14T17:59:00Z,2004
pmndrs/zustand,2019-04-09T09:10:06Z,TypeScript,2025-03-14T18:21:25Z,750
minio/minio,2015-01-14T19:23:58Z,Go,2025-03-14T17:06:06Z,9767
clash-verge-rev/clash-verge-rev,2023-11-21T18:24:03Z,TypeScript,2025-03-14T18:25:00Z,175
google/guava,2014-05-29T16:23:17Z,Java,2025-03-14T18:35:18Z,843
All-Hands-AI/OpenHands,2024-03-13T03:33:31Z,Python,2025-03-14T17:41:37Z,3588
xai-org/grok-1,2024-03-17T08:53:38Z,Python,2025-03-14T17:24:13Z,5
JetBrains/kotlin,2012-02-13T17:29:58Z,Kotlin,2025-03-14T18:31:00Z,2064
prettier/prettier,2016-11-29T17:13:37Z,JavaScript,2025-03-14T16:20:27Z,8525
mozilla/pdf.js,2011-04-26T06:32:03Z,JavaScript,2025-03-14T15:28:50Z,7843
